BRANCH_ID,BRANCH_NAME,BRANCH_TYPE,ADDRESS,CITY,STATE,ZIP_CODE,LATITUDE,LONGITUDE,REGION,DISTRICT,PHONE,MANAGER_NAME,OPEN_DATE,EMPLOYEE_COUNT,IS_ACTIVE,_SOURCE_TABLE,_ROW_HASH,_LOADED_AT,_SOURCE_SYSTEM,_IS_CURRENT,_VALID_FROM,_VALID_TO
BR-01001,United Rentals - New York #1,BRANCH,43321 Brittany Bypass,New York,NY,04406,40.715589,-74.0155,NORTHEAST,NY-NOR,833-589-0838,Donald Booth,2020-08-18,25,TRUE,UR_BRANCHES,bebd24a9a849ae814676a7364d36b1705f06c5bd5f9b94356108b333913ac197,2026-03-20T07:54:06.955156,UNITED_RENTALS,TRUE,2026-03-20T07:54:06.955158,9999-12-31T00:00:00
BR-01002,United Rentals - New York Specialty #2,SPECIALTY,654 Jason Track,New York,NY,44619,40.697494,-74.027628,NORTHEAST,NY-NOR,916-315-5940,Jamie Arnold,2021-12-21,14,TRUE,UR_BRANCHES,71a73153a7de12795f394fb2b8a83fe3cd3334aa802d5485d29fe8410b82785b,2026-03-20T07:54:06.955322,UNITED_RENTALS,TRUE,2026-03-20T07:54:06.955323,9999-12-31T00:00:00
BR-01003,United Rentals - New York Tool Rental #3,TOOL_RENTAL,310 Kendra Common Apt. 164,New York,NY,59930,40.723402,-73.982469,NORTHEAST,NY-NOR,+1-952-855-3419x2832,Timothy Watts,2010-05-21,13,TRUE,UR_BRANCHES,2a90b46c3c12db0a03fd9887c187e077546a6703b3dcaa759a92b9fabb580302,2026-03-20T07:54:06.955444,UNITED_RENTALS,TRUE,2026-03-20T07:54:06.955445,9999-12-31T00:00:00
BR-01004,United Rentals - Boston #1,BRANCH,30564 Jason Port Suite 376,Boston,MA,84760,42.36191,-71.068264,NORTHEAST,MA-NOR,724.523.8849x696,Brenda Snyder PhD,2022-07-29,13,TRUE,UR_BRANCHES,4f1f41dc9fdd29c097a0d2934811cd2db30951deb1f5ccd5d9828fb1c360286a,2026-03-20T07:54:06.955562,UNITED_RENTALS,TRUE,2026-03-20T07:54:06.955562,9999-12-31T00:00:00
BR-01005,United Rentals - Boston Specialty #2,SPECIALTY,269 Paul Ranch,Boston,MA,61849,42.343218,-71.058579,NORTHEAST,MA-NOR,648.401.8451x46270,Ashley Garrett,2022-03-16,9,TRUE,UR_BRANCHES,4c8f1ec6fe674eb89a03ace7ec574959f96c818dcdb7a68ee7706e64dcc0689e,2026-03-20T07:54:06.955669,UNITED_RENTALS,TRUE,2026-03-20T07:54:06.955669,9999-12-31T00:00:00
BR-01006,United Rentals - Boston Tool Rental #3,TOOL_RENTAL,52880 Burns Creek,Boston,MA,48077,42.363775,-71.045939,NORTHEAST,MA-NOR,430-639-1171x8227,Lisa Brandt,2023-11-11,42,TRUE,UR_BRANCHES,75eca6b36c92d3277d1dd9b3f8f68303a43a6f7b2e692aa773b7725fbbaec478,2026-03-20T07:54:06.955782,UNITED_RENTALS,TRUE,2026-03-20T07:54:06.955782,9999-12-31T00:00:00
BR-01007,United Rentals - Philadelphia #1,BRANCH,465 Lam Mission,Philadelphia,PA,16361,39.95099,-75.166216,NORTHEAST,PA-NOR,531.250.9839,Mark Perez,2023-06-01,25,TRUE,UR_BRANCHES,642094f110eb395af259fcc93daee415a2448f08447ec9a6e1b6fe806857d74a,2026-03-20T07:54:06.955891,UNITED_RENTALS,TRUE,2026-03-20T07:54:06.955892,9999-12-31T00:00:00
BR-01008,United Rentals - Philadelphia Specialty #2,SPECIALTY,83473 Jennifer Ports Suite 376,Philadelphia,PA,25458,39.971166,-75.19481,NORTHEAST,PA-NOR,216-856-6701,Rebecca Rodriguez,2009-11-08,18,TRUE,UR_BRANCHES,db1f8fed2cd0807c08270121e6debf0e4a40204ae28e0b9155e80ee33931d365,2026-03-20T07:54:06.955994,UNITED_RENTALS,TRUE,2026-03-20T07:54:06.955995,9999-12-31T00:00:00
BR-01009,United Rentals - Philadelphia Tool Rental #3,TOOL_RENTAL,62473 Scott Wall Apt. 080,Philadelphia,PA,12725,39.964488,-75.174785,NORTHEAST,PA-NOR,001-932-667-7360x26064,Tyler Cowan,2016-10-09,17,TRUE,UR_BRANCHES,2b06440475c35b4e08a6e416825b06dbcf696a84358ee73059a02e871f0a16fc,2026-03-20T07:54:06.956101,UNITED_RENTALS,TRUE,2026-03-20T07:54:06.956101,9999-12-31T00:00:00
BR-01010,United Rentals - Pittsburgh #1,BRANCH,34309 Julie Centers Apt. 978,Pittsburgh,PA,70116,40.434906,-79.99063,NORTHEAST,PA-NOR,(808)312-1913,Laura Riley,2006-12-20,14,TRUE,UR_BRANCHES,5bc04f77827f227d3f15a3e57a3ca9dc7b6604065cb9c0089b6db06dfa0bba02,2026-03-20T07:54:06.956202,UNITED_RENTALS,TRUE,2026-03-20T07:54:06.956203,9999-12-31T00:00:00
