EQUIPMENT_ID,SERIAL_NUMBER,MAKE,MODEL,CATEGORY,SUBCATEGORY,DESCRIPTION,YEAR_MANUFACTURED,ACQUISITION_DATE,ACQUISITION_COST,REPLACEMENT_COST,BRANCH_ID,STATUS,CONDITION,LATITUDE,LONGITUDE,LAST_SERVICE_DATE,NEXT_SERVICE_DUE,HOUR_METER_READING,DAILY_RATE,WEEKLY_RATE,MONTHLY_RATE,_SOURCE_TABLE,_ROW_HASH,_LOADED_AT,_SOURCE_SYSTEM,_IS_CURRENT,_VALID_FROM,_VALID_TO
EQ-010000,MIL969634I,Miller,Big Blue 500,GENERAL_TOOLS,Welder,Welder Generator 500A,2015,2015-02-13,42200,50000,BR-01088,RENTED,GOOD,39.724742,-104.883053,2026-03-19,2026-03-20,7439,175.54,526.62,1579.86,UR_EQUIPMENT,a9571ad434e06640710e9b17b564710250bc33584bb69dfd90480464fd697436,2026-03-20T07:54:06.965477,UNITED_RENTALS,TRUE,2026-03-20T07:54:06.965478,9999-12-31T00:00:00
EQ-010001,CAT824586E,Cat,330,EARTHMOVING,Excavator,Excavator 30T,2023,2024-01-29,305100,233100,BR-01082,DECOMMISSIONED,EXCELLENT,31.786481,-106.481075,2026-03-19,2026-03-20,1732,767.61,2302.83,6908.49,UR_EQUIPMENT,d7eded647a9bd69fdb2cac33e96146d0ac488cde449dc279bacd8656133f832e,2026-03-20T07:54:06.965527,UNITED_RENTALS,TRUE,2026-03-20T07:54:06.965527,9999-12-31T00:00:00
EQ-010002,CAR815198H,Carrier,30RB,POWER_AND_HVAC,Air-Cooled,Air-Cooled Chiller 5T,2015,2015-07-31,92500,69000,BR-01071,AVAILABLE,EXCELLENT,29.749495,-95.355824,2026-03-19,2026-03-20,3941,279.92,839.76,2519.28,UR_EQUIPMENT,028d6a87f00053def7f9f78b6561f2e1f1c40d42d4542ec8f5e473a50493ac48,2026-03-20T07:54:06.965570,UNITED_RENTALS,TRUE,2026-03-20T07:54:06.965571,9999-12-31T00:00:00
EQ-010003,CAT288073X,Cat,926M,EARTHMOVING,Wheel,Wheel Loader,2017,2018-12-20,142500,225000,BR-01080,RENTED,POOR,36.089165,-96.120392,2026-03-19,2026-03-20,906,557.21,1671.63,5014.89,UR_EQUIPMENT,c1eaa0af3865d7b607849b127d4469c9d0328b72e6222d7ed7444c9d7f7cf832,2026-03-20T07:54:06.965609,UNITED_RENTALS,TRUE,2026-03-20T07:54:06.965610,9999-12-31T00:00:00
EQ-010004,CHE333238G,Checkers,RP5x8,TRENCH_SAFETY,Road,Road Plate 5x8ft,2015,2016-12-03,15850,16950,BR-01095,MAINTENANCE,GOOD,40.759374,-111.896155,2026-03-19,2026-03-20,0,55.38,166.14,498.42,UR_EQUIPMENT,24494b2338c4013b662683ac5cfaf9b3f4a471abc4261e781519e86da5b81548,2026-03-20T07:54:06.965648,UNITED_RENTALS,TRUE,2026-03-20T07:54:06.965649,9999-12-31T00:00:00
EQ-010005,BOB519093V,Bobcat,S650,EARTHMOVING,Skid,Skid Steer Loader,2019,2020-12-25,92675,91850,BR-01029,AVAILABLE,EXCELLENT,25.762322,-80.173335,2026-03-19,2026-03-20,8846,262.72,788.16,2364.48,UR_EQUIPMENT,cfc900bb1b5526c32503b7ee0eb44200b9f55c13b632c0fe0ace839ad8ece82b,2026-03-20T07:54:06.965687,UNITED_RENTALS,TRUE,2026-03-20T07:54:06.965687,9999-12-31T00:00:00
EQ-010006,EFF924629K,Efficiency,Steel Box 8x16,TRENCH_SAFETY,Trench,Trench Box 8ft,2021,2022-09-24,38875,50625,BR-01034,AVAILABLE,POOR,36.162283,-86.787821,2026-03-19,2026-03-20,0,119.21,357.63,1072.89,UR_EQUIPMENT,c47a0c59efad7c63dc5488e7e125c5387000661d469e0cd0c9d21d4410815703,2026-03-20T07:54:06.965724,UNITED_RENTALS,TRUE,2026-03-20T07:54:06.965725,9999-12-31T00:00:00
EQ-010007,EFF664607V,Efficiency,Steel Box 8x16,TRENCH_SAFETY,Trench,Trench Box 8ft,2023,2024-08-27,48000,61250,BR-01050,MAINTENANCE,EXCELLENT,42.342794,-83.068736,2026-03-19,2026-03-20,0,140.96,422.88,1268.64,UR_EQUIPMENT,e8aa56a0d642acd754dcb7831d0313dc3107387dc054f6b4922b17fad2c774f0,2026-03-20T07:54:06.965761,UNITED_RENTALS,TRUE,2026-03-20T07:54:06.965761,9999-12-31T00:00:00
EQ-010008,MIL631756J,Miller,Big Blue 500,GENERAL_TOOLS,Welder,Welder Generator 500A,2016,2016-12-23,74000,70800,BR-01047,RENTED,POOR,41.988698,-87.608401,2026-03-19,2026-03-20,5420,213.19,639.57,1918.71,UR_EQUIPMENT,c98a6775194534848183ae0368f56e0d0d207ed74f337953ab8c6ab84272bb08,2026-03-20T07:54:06.965797,UNITED_RENTALS,TRUE,2026-03-20T07:54:06.965798,9999-12-31T00:00:00
EQ-010009,BOB525800R,Bobcat,T770,EARTHMOVING,Compact,Compact Track Loader,2017,2017-10-29,70000,114450,BR-01071,AVAILABLE,GOOD,29.755816,-95.358041,2026-03-19,2026-03-20,5430,362.13,1086.39,3259.17,UR_EQUIPMENT,08b34279d5255cd73de8500a0cf69cdf2aff46b534c9dee3bb21959034bd3979,2026-03-20T07:54:06.965833,UNITED_RENTALS,TRUE,2026-03-20T07:54:06.965834,9999-12-31T00:00:00
