RECORD_ID,EQUIPMENT_ID,BRANCH_ID,MAINTENANCE_TYPE,DESCRIPTION,SCHEDULED_DATE,START_DATE,COMPLETION_DATE,LABOR_HOURS,PARTS_COST,LABOR_COST,TOTAL_COST,TECHNICIAN_NAME,STATUS,_SOURCE_TABLE,_ROW_HASH,_LOADED_AT,_SOURCE_SYSTEM,_IS_CURRENT,_VALID_FROM,_VALID_TO
MR-040000,EQ-010560,BR-01061,INSPECTION,Inspection maintenance - Mini Excavator 4T,2025-05-28,2025-05-31,2025-06-01,18.9,0.0,2187.09,2187.09,Nicole Davis,COMPLETED,UR_MAINTENANCE_RECORDS,02dfb554e4c5d9e46e22392d3d94b192262ad41550b7cb72cc0ea49e8243ff9d,2026-03-20T07:54:08.394834,UNITED_RENTALS,TRUE,2026-03-20T07:54:08.394835,9999-12-31T00:00:00
MR-040001,EQ-012746,BR-01077,PREVENTIVE,Preventive maintenance - Air-Cooled Chiller 5T,2025-04-05,2025-04-06,2025-04-07,19.3,732.22,1791.35,2523.57,Amber Simmons,COMPLETED,UR_MAINTENANCE_RECORDS,fa59a11ecddd4e8356240a873baf498d0756a37fe4b2be729db658e4e89c3b01,2026-03-20T07:54:08.394926,UNITED_RENTALS,TRUE,2026-03-20T07:54:08.394927,9999-12-31T00:00:00
MR-040002,EQ-011046,BR-01035,INSPECTION,Inspection maintenance - Scissor Lift 32ft Electric,2025-07-26,2025-07-28,2025-07-29,20.1,0.0,2232.35,2232.35,Terry Schaefer,COMPLETED,UR_MAINTENANCE_RECORDS,df33489b2625bcf9a1ea369cbb985580202a3753abe0895b4d649ca9aef7163f,2026-03-20T07:54:08.394996,UNITED_RENTALS,TRUE,2026-03-20T07:54:08.394997,9999-12-31T00:00:00
MR-040003,EQ-014574,BR-01050,CORRECTIVE,Corrective maintenance - Excavator 14T,2025-04-23,2025-04-24,2025-04-24,18.8,754.66,2242.4,2997.06,Derek Pacheco,COMPLETED,UR_MAINTENANCE_RECORDS,e54da4c5f6a2f74f0fb24f624f6ee65f8405eefa08dedb5aee19ed687f5835ea,2026-03-20T07:54:08.395064,UNITED_RENTALS,TRUE,2026-03-20T07:54:08.395065,9999-12-31T00:00:00
MR-040004,EQ-011358,BR-01014,CORRECTIVE,Corrective maintenance - Crawler Dozer,2026-02-01,2026-02-01,2026-02-03,21.4,2793.7,2710.73,5504.43,Walter Fields,COMPLETED,UR_MAINTENANCE_RECORDS,da0a23f89a977882806986130c9889792c076dcc77093ab31d049eb307a4e161,2026-03-20T07:54:08.395131,UNITED_RENTALS,TRUE,2026-03-20T07:54:08.395132,9999-12-31T00:00:00
MR-040005,EQ-014507,BR-01097,PREVENTIVE,Preventive maintenance - Generator 100kW Diesel,2025-09-13,2025-09-15,2025-09-15,13.5,1057.93,1115.84,2173.77,Thomas Larsen,COMPLETED,UR_MAINTENANCE_RECORDS,af6b15b76e98d008bd4e0dcdbe46dbc5d13d5642934f3a3d4e6e144e3176f7e6,2026-03-20T07:54:08.395198,UNITED_RENTALS,TRUE,2026-03-20T07:54:08.395199,9999-12-31T00:00:00
MR-040006,EQ-013624,BR-01072,PREVENTIVE,Preventive maintenance - Boom Lift 60ft Straight,2025-07-12,2025-07-13,2025-07-13,12.4,2043.81,1321.05,3364.86,Steven Le,COMPLETED,UR_MAINTENANCE_RECORDS,75b46de9cead2b15cf28c7ee54133d43780bd3d51d52fda77e7466beb788f824,2026-03-20T07:54:08.395264,UNITED_RENTALS,TRUE,2026-03-20T07:54:08.395265,9999-12-31T00:00:00
MR-040007,EQ-010286,BR-01056,EMERGENCY,Emergency maintenance - Air Compressor 375 CFM,2025-12-31,2026-01-02,2026-01-04,16.0,3491.27,1958.01,5449.28,Emily Hensley,COMPLETED,UR_MAINTENANCE_RECORDS,bfa1df2470979368143d4f82d0c45bc84c322af3e3e3327e87b946e00739ff9d,2026-03-20T07:54:08.395331,UNITED_RENTALS,TRUE,2026-03-20T07:54:08.395332,9999-12-31T00:00:00
MR-040008,EQ-014901,BR-01030,PREVENTIVE,Preventive maintenance - Welder Generator 300A,2025-08-22,2025-08-25,2025-08-27,18.9,1994.55,2274.14,4268.69,Christopher Potter,COMPLETED,UR_MAINTENANCE_RECORDS,2687b45830772d4712cb2ca98bdcca334cff6b99ed5312d8e3415d24e2a8ff3c,2026-03-20T07:54:08.395396,UNITED_RENTALS,TRUE,2026-03-20T07:54:08.395397,9999-12-31T00:00:00
MR-040009,EQ-013318,BR-01080,CORRECTIVE,Corrective maintenance - Air-Cooled Chiller 5T,2025-05-21,2025-05-24,2025-05-24,12.0,172.64,1724.42,1897.06,Donna Jennings,COMPLETED,UR_MAINTENANCE_RECORDS,b5fd3f2195647bbcecaa0f69ebed67de76f8242ab1a2e0f0b9fa188309567ab4,2026-03-20T07:54:08.395463,UNITED_RENTALS,TRUE,2026-03-20T07:54:08.395464,9999-12-31T00:00:00
MR-040010,EQ-012078,BR-01040,PREVENTIVE,Preventive maintenance - Rough Terrain Forklift,2025-04-08,2025-04-08,2025-04-08,3.5,1049.58,333.79,1383.37,Roberto Contreras,COMPLETED,UR_MAINTENANCE_RECORDS,1da7b2a98d787ac4231ce319a4316cf47fed043c305a9530e1dc7b6ba9f11174,2026-03-20T07:54:08.395529,UNITED_RENTALS,TRUE,2026-03-20T07:54:08.395530,9999-12-31T00:00:00
