READING_ID,EQUIPMENT_ID,READING_TIMESTAMP,LATITUDE,LONGITUDE,ENGINE_HOURS,FUEL_LEVEL_PCT,BATTERY_VOLTAGE,IS_RUNNING,SPEED_MPH,AMBIENT_TEMP_F,FAULT_CODE,FAULT_DESCRIPTION,_SOURCE_TABLE,_ROW_HASH,_LOADED_AT,_SOURCE_SYSTEM,_IS_CURRENT,_VALID_FROM,_VALID_TO
TL-0050000,EQ-010107,2026-03-08T01:38:29.708222,32.793935,-96.776858,7528.9,86.9,11.9,FALSE,0.0,89.4,E006,Fuel filter clogged,UR_TELEMATICS,7fbf63dc93a021ac1e7c7a2373bc3e050ecc01ebe6fdbbe690035033f5ca0aaf,2026-03-20T07:54:08.586614,UNITED_RENTALS,TRUE,2026-03-20T07:54:08.586615,9999-12-31T00:00:00
TL-0050001,EQ-010670,2026-03-16T03:53:56.013997,42.378216,-83.204918,4616.3,62.2,13.2,FALSE,0.0,46.4,E004,Hydraulic pressure warning,UR_TELEMATICS,6429c015488a27c2038161054ff6fec9b8276c00d893da28487cad8c2dc3fb88,2026-03-20T07:54:08.586636,UNITED_RENTALS,TRUE,2026-03-20T07:54:08.586637,9999-12-31T00:00:00
TL-0050002,EQ-014232,2026-03-08T04:31:09.724483,33.737696,-84.403332,3786.3,85.2,13.2,FALSE,0.0,55.0,,,UR_TELEMATICS,94a8bec48bb56a727e72ea7932113f89ce0c9311233fb06c6ea3fdbf2635938f,2026-03-20T07:54:08.586652,UNITED_RENTALS,TRUE,2026-03-20T07:54:08.586653,9999-12-31T00:00:00
TL-0050003,EQ-010290,2026-02-23T00:32:28.490551,37.482805,-77.426282,10341.2,33.0,12.8,FALSE,0.0,101.8,,,UR_TELEMATICS,7f9bf3d55d3004cdd587788cbabca23bd032ab52b7b7c2baa3144d72eb1ca3af,2026-03-20T07:54:08.586667,UNITED_RENTALS,TRUE,2026-03-20T07:54:08.586668,9999-12-31T00:00:00
TL-0050004,EQ-011159,2026-03-06T14:20:19.110924,47.571895,-122.236101,13863.1,36.0,14.3,FALSE,0.0,32.1,,,UR_TELEMATICS,44e450013c272d727cd6f344b668f2f23b7c4e58100704bfaeff97f1c5d0c14c,2026-03-20T07:54:08.586682,UNITED_RENTALS,TRUE,2026-03-20T07:54:08.586683,9999-12-31T00:00:00
TL-0050005,EQ-014203,2026-02-27T16:04:53.830761,36.173559,-96.019416,12913.3,59.5,12.6,TRUE,8.9,63.1,E007,Engine RPM out of range,UR_TELEMATICS,5041f3411f40904d9d66d86cdac2fb38a97a49dcdf959f9958daa467c6cdf92b,2026-03-20T07:54:08.586696,UNITED_RENTALS,TRUE,2026-03-20T07:54:08.586697,9999-12-31T00:00:00
TL-0050006,EQ-014922,2026-03-14T02:11:54.361350,38.627606,-90.207358,1498.0,45.2,12.8,FALSE,0.0,35.2,E002,High coolant temperature,UR_TELEMATICS,ad74a9c054f9907d7a7be6a419b907947f0a4a0e3850fed41928d4d29a7d9766,2026-03-20T07:54:08.586709,UNITED_RENTALS,TRUE,2026-03-20T07:54:08.586710,9999-12-31T00:00:00
TL-0050007,EQ-012112,2026-03-14T04:23:59.328543,39.993116,-82.932999,12482.9,91.9,14.1,TRUE,11.5,28.4,,,UR_TELEMATICS,4c42d6ca62f8c9ae10c0a9ff8975fc08c0f8bbebc92f2a5f569b97ed213ddcd6,2026-03-20T07:54:08.586722,UNITED_RENTALS,TRUE,2026-03-20T07:54:08.586723,9999-12-31T00:00:00
TL-0050008,EQ-011214,2026-03-09T19:47:14.130749,37.76635,-122.480244,4535.7,95.9,12.2,TRUE,8.8,73.5,E009,Boom sensor malfunction,UR_TELEMATICS,338a24bc8feb100c719f79dfc6647f13f58782e66bba26881ef9bd0b08328bc5,2026-03-20T07:54:08.586740,UNITED_RENTALS,TRUE,2026-03-20T07:54:08.586740,9999-12-31T00:00:00
TL-0050009,EQ-011927,2026-03-05T03:40:57.780026,35.752162,-78.62293,1241.9,42.0,12.5,FALSE,0.0,92.6,E003,Battery voltage low,UR_TELEMATICS,42b9a2c8f7ee240620450460dd15626c023cb1f636aab780fd95e735877e487d,2026-03-20T07:54:08.586752,UNITED_RENTALS,TRUE,2026-03-20T07:54:08.586753,9999-12-31T00:00:00
TL-0050010,EQ-010323,2026-03-14T00:50:35.099136,39.413268,-76.554585,8429.4,44.0,13.0,TRUE,1.1,54.1,E005,Air filter restricted,UR_TELEMATICS,c3fa382e67a9103ae7175be006e31ca716a6e02f349a446b7fbcc95db5df88a0,2026-03-20T07:54:08.586765,UNITED_RENTALS,TRUE,2026-03-20T07:54:08.586766,9999-12-31T00:00:00
TL-0050011,EQ-012167,2026-03-06T17:07:21.698437,40.43103,-79.994272,5341.1,28.0,12.1,FALSE,0.0,46.7,E006,Fuel filter clogged,UR_TELEMATICS,d150cd3f61e0ccb5deff708efd9aae19f9213d2882aa1b04cfe4db64422e0ff0,2026-03-20T07:54:08.586778,UNITED_RENTALS,TRUE,2026-03-20T07:54:08.586778,9999-12-31T00:00:00
TL-0050012,EQ-010784,2026-03-15T08:29:46.415519,44.958696,-93.242226,1685.4,33.9,14.2,FALSE,0.0,74.1,,,UR_TELEMATICS,74b8610866f9899ce1a1b654644caab335657ddaef6a4ba1a5e7221455c0b277,2026-03-20T07:54:08.586790,UNITED_RENTALS,TRUE,2026-03-20T07:54:08.586790,9999-12-31T00:00:00
TL-0050013,EQ-014126,2026-03-15T18:06:47.403163,30.291669,-97.731426,14642.0,54.1,13.1,FALSE,0.0,92.8,,,UR_TELEMATICS,352a122e68fd9167128cf9d9918daca7e7d653fea17eca92aa411ff4ab5f1333,2026-03-20T07:54:08.586802,UNITED_RENTALS,TRUE,2026-03-20T07:54:08.586803,9999-12-31T00:00:00
TL-0050014,EQ-012290,2026-03-19T21:17:11.941125,41.833165,-87.782353,4825.9,88.2,12.3,FALSE,0.0,65.0,,,UR_TELEMATICS,68a1ce089f58aa7cb9dcf6c006b2d622956c53a03aba99d70bb9c7f338c484dd,2026-03-20T07:54:08.586815,UNITED_RENTALS,TRUE,2026-03-20T07:54:08.586815,9999-12-31T00:00:00
TL-0050015,EQ-012624,2026-03-08T05:50:37.112320,39.289673,-76.606135,910.7,82.7,12.0,FALSE,0.0,57.2,E005,Air filter restricted,UR_TELEMATICS,48c6e8636254de5df97b515a35caaf7901b1f552e64f831f5d4209d705f88b29,2026-03-20T07:54:08.586827,UNITED_RENTALS,TRUE,2026-03-20T07:54:08.586827,9999-12-31T00:00:00
TL-0050016,EQ-012384,2026-02-26T08:25:04.616793,42.365574,-71.06661,5187.2,90.1,14.1,FALSE,0.0,81.2,E006,Fuel filter clogged,UR_TELEMATICS,25e2cf2483444dae301aa5538306dacaa247acd21a9b0a080da63a9ba9b55a5c,2026-03-20T07:54:08.586839,UNITED_RENTALS,TRUE,2026-03-20T07:54:08.586840,9999-12-31T00:00:00
TL-0050017,EQ-014777,2026-02-22T05:33:10.197946,42.335608,-83.033923,2226.2,13.8,14.2,FALSE,0.0,22.8,,,UR_TELEMATICS,aaeaddc139f794e1cd2bd12cf1812b2effff46f6dde4d82f28f59c3d2c323194,2026-03-20T07:54:08.586852,UNITED_RENTALS,TRUE,2026-03-20T07:54:08.586853,9999-12-31T00:00:00
TL-0050018,EQ-011495,2026-03-12T10:11:21.086328,25.783022,-80.194675,1889.9,65.1,12.9,FALSE,0.0,88.7,,,UR_TELEMATICS,9cff3010f83ce7744e862eff3b3590c650ec428bdf5272802f83977d8c76039b,2026-03-20T07:54:08.586870,UNITED_RENTALS,TRUE,2026-03-20T07:54:08.586870,9999-12-31T00:00:00
TL-0050019,EQ-010544,2026-03-14T02:11:04.805163,39.665757,-86.268563,5054.4,60.0,13.9,TRUE,14.2,53.0,,,UR_TELEMATICS,a4dbee550654359b78c4fd1fe43fb138dfdcab2847946b2fc2533a8020b87c26,2026-03-20T07:54:08.586883,UNITED_RENTALS,TRUE,2026-03-20T07:54:08.586884,9999-12-31T00:00:00
TL-0050020,EQ-013171,2026-02-26T08:22:38.346137,39.115143,-94.591792,5128.5,68.1,12.0,FALSE,0.0,44.3,,,UR_TELEMATICS,e9c47cca633b74ebe02b06c8ca7e192eef429f28bec6f86cbf7d62064154df11,2026-03-20T07:54:08.586895,UNITED_RENTALS,TRUE,2026-03-20T07:54:08.586896,9999-12-31T00:00:00
TL-0050021,EQ-011397,2026-03-09T08:23:53.611221,42.34321,-71.053778,9782.0,54.6,12.9,FALSE,0.0,64.5,,,UR_TELEMATICS,6a6d0c02f32d463dce307f8d13c473d360bc9b9a85caf858d2f8864ce53b475c,2026-03-20T07:54:08.586907,UNITED_RENTALS,TRUE,2026-03-20T07:54:08.586908,9999-12-31T00:00:00
TL-0050022,EQ-014783,2026-02-25T17:31:38.516115,40.817266,-73.975542,2693.1,90.9,13.6,TRUE,10.4,62.6,E008,Transmission fault,UR_TELEMATICS,57feffc3895ba12f4727086ea80bfd8f7505852fe976f67772c67e7c1bc763e0,2026-03-20T07:54:08.586920,UNITED_RENTALS,TRUE,2026-03-20T07:54:08.586920,9999-12-31T00:00:00
TL-0050023,EQ-013543,2026-03-09T06:09:20.925883,40.412067,-80.023233,3698.7,28.6,12.2,TRUE,0.6,62.2,E002,High coolant temperature,UR_TELEMATICS,c2eb6ada929e830ffa8c0de115aade73b0e20cf84198df99581ae9ff2534d440,2026-03-20T07:54:08.586932,UNITED_RENTALS,TRUE,2026-03-20T07:54:08.586933,9999-12-31T00:00:00
TL-0050024,EQ-011871,2026-03-03T15:26:39.774038,39.096091,-94.580607,5770.4,80.3,13.2,FALSE,0.0,78.3,,,UR_TELEMATICS,b95dd5774f7e5f58fe1004c24461005fcd428a0582a1ddaeb24d2ccf41b38c67,2026-03-20T07:54:08.586945,UNITED_RENTALS,TRUE,2026-03-20T07:54:08.586945,9999-12-31T00:00:00
TL-0050025,EQ-012394,2026-03-04T09:03:50.613235,39.276952,-76.604661,8205.0,58.5,14.0,FALSE,0.0,51.1,,,UR_TELEMATICS,fd22ea5353b1d044ebae75f22a695803e3e6c3ccbf6f5d37c0b0046e5435d61d,2026-03-20T07:54:08.586957,UNITED_RENTALS,TRUE,2026-03-20T07:54:08.586957,9999-12-31T00:00:00
TL-0050026,EQ-013373,2026-02-22T05:55:00.274547,39.671377,-104.869688,8339.7,35.9,11.8,TRUE,7.3,34.9,E007,Engine RPM out of range,UR_TELEMATICS,bcde47381071610fe95f99f90e2339a116062434016bddb4692cb0534b48c506,2026-03-20T07:54:08.586973,UNITED_RENTALS,TRUE,2026-03-20T07:54:08.586973,9999-12-31T00:00:00
TL-0050027,EQ-012413,2026-02-22T19:51:11.719271,44.960929,-93.240378,2229.2,42.1,12.4,TRUE,14.1,51.8,E007,Engine RPM out of range,UR_TELEMATICS,fec5f6eb065a8c78e8413ebcce361d46fb242a29f777bd30c66c99a9fd3b817d,2026-03-20T07:54:08.586986,UNITED_RENTALS,TRUE,2026-03-20T07:54:08.586986,9999-12-31T00:00:00
TL-0050028,EQ-011490,2026-02-19T07:50:49.612258,38.620734,-90.183936,13612.5,44.8,13.5,FALSE,0.0,94.4,,,UR_TELEMATICS,c812fd87dd41a30a66e86519291f302f4685f4ab6854542fd589b96b4f0fa609,2026-03-20T07:54:08.586998,UNITED_RENTALS,TRUE,2026-03-20T07:54:08.586999,9999-12-31T00:00:00
TL-0050029,EQ-011059,2026-03-05T03:38:54.167386,40.744956,-74.062173,4235.9,19.0,13.3,FALSE,0.0,32.7,,,UR_TELEMATICS,ce797546b5bb87fe001601afa2b88b25cafd0a2b5dce2064e83c9a7940a75946,2026-03-20T07:54:08.587015,UNITED_RENTALS,TRUE,2026-03-20T07:54:08.587015,9999-12-31T00:00:00
TL-0050030,EQ-014998,2026-02-20T19:16:21.114321,39.967557,-75.194242,3046.0,27.0,11.9,FALSE,0.0,55.3,E005,Air filter restricted,UR_TELEMATICS,8b6db89ae2f4744ac8702f391e8ca893225f35fe7d5f4309ddd83852f1d1ebe2,2026-03-20T07:54:08.587027,UNITED_RENTALS,TRUE,2026-03-20T07:54:08.587027,9999-12-31T00:00:00
TL-0050031,EQ-013403,2026-02-18T16:35:21.326313,28.069163,-82.46659,3889.4,52.7,13.0,TRUE,12.5,77.9,E010,Safety interlock triggered,UR_TELEMATICS,098c40afd649a6f4a438afd85f3bd90d6fa9eb18a6feacdaa9d2007a9948159d,2026-03-20T07:54:08.587039,UNITED_RENTALS,TRUE,2026-03-20T07:54:08.587040,9999-12-31T00:00:00
TL-0050032,EQ-014358,2026-03-11T12:09:00.149750,38.613727,-121.520361,14351.3,15.6,11.9,FALSE,0.0,48.5,,,UR_TELEMATICS,fcb38fa81dcbe5b69edd1b53b723ecc2341bb30de6470c6833ff5305e87b7a22,2026-03-20T07:54:08.587051,UNITED_RENTALS,TRUE,2026-03-20T07:54:08.587052,9999-12-31T00:00:00
TL-0050033,EQ-011772,2026-03-13T17:11:31.094034,41.680774,-72.651896,5254.0,54.3,14.3,TRUE,1.8,85.9,E003,Battery voltage low,UR_TELEMATICS,c4ac2cb71c1e71e3b5469bad08003b4ed21b5d8389412a4b496f8a6b48aa62be,2026-03-20T07:54:08.587065,UNITED_RENTALS,TRUE,2026-03-20T07:54:08.587065,9999-12-31T00:00:00
TL-0050034,EQ-012195,2026-03-19T00:31:30.821123,39.850557,-105.101895,13970.1,70.3,13.6,TRUE,11.6,41.1,,,UR_TELEMATICS,7da779d03c064339aec3528fe1aa15241fbc8f10f78694519dd8e5fecf43f928,2026-03-20T07:54:08.587079,UNITED_RENTALS,TRUE,2026-03-20T07:54:08.587079,9999-12-31T00:00:00
TL-0050035,EQ-010298,2026-03-11T00:07:55.595276,45.608659,-122.740214,9106.7,82.4,13.7,FALSE,0.0,96.8,E009,Boom sensor malfunction,UR_TELEMATICS,8f6a860f535c71a76bef81c73b4d83ad2d8b76b7601ebbfe1e84bd9fe206b37a,2026-03-20T07:54:08.587092,UNITED_RENTALS,TRUE,2026-03-20T07:54:08.587093,9999-12-31T00:00:00
TL-0050036,EQ-010280,2026-03-04T10:50:19.054383,36.168182,-115.142909,1330.4,38.9,11.7,FALSE,0.0,67.4,,,UR_TELEMATICS,6aaab100edc9d1e8f62fd23144c98ba83298ea300a772f34c41f52bc78adf98a,2026-03-20T07:54:08.587106,UNITED_RENTALS,TRUE,2026-03-20T07:54:08.587106,9999-12-31T00:00:00
TL-0050037,EQ-011519,2026-03-08T23:28:30.901563,39.92154,-75.14328,11565.2,37.3,13.2,TRUE,14.8,99.6,E004,Hydraulic pressure warning,UR_TELEMATICS,66f898702c59f3568f0bcbaad21949a1112ff6c3152da6a058c014a308a10d8d,2026-03-20T07:54:08.587121,UNITED_RENTALS,TRUE,2026-03-20T07:54:08.587122,9999-12-31T00:00:00
TL-0050038,EQ-014387,2026-02-18T18:48:35.083802,29.657825,-95.412267,4713.9,35.3,13.2,TRUE,12.2,99.3,,,UR_TELEMATICS,e0fa1e8ea33fac9fc933e9c16504dd4b955e907c7c11d12918dd94acd859e1a7,2026-03-20T07:54:08.587136,UNITED_RENTALS,TRUE,2026-03-20T07:54:08.587137,9999-12-31T00:00:00
TL-0050039,EQ-014076,2026-03-17T22:17:28.333609,33.453635,-112.071312,8740.4,79.3,14.0,FALSE,0.0,81.3,,,UR_TELEMATICS,68a7b2208a5a473bc37a67104bb0883ef5e936733873094882ca7115eb7ec19b,2026-03-20T07:54:08.587149,UNITED_RENTALS,TRUE,2026-03-20T07:54:08.587150,9999-12-31T00:00:00
TL-0050040,EQ-014348,2026-03-08T23:07:45.073140,35.74845,-78.623181,852.0,94.6,12.5,FALSE,0.0,96.1,,,UR_TELEMATICS,a8ef1b6ee7746f8aa66666daf9ca58cdd9bc7ff052e45b5f2a58f6ae5d328624,2026-03-20T07:54:08.587162,UNITED_RENTALS,TRUE,2026-03-20T07:54:08.587163,9999-12-31T00:00:00
TL-0050041,EQ-014130,2026-03-15T09:44:55.852146,30.262549,-97.732631,3692.6,44.9,11.7,FALSE,0.0,60.4,E004,Hydraulic pressure warning,UR_TELEMATICS,ec1ecb94e1d1df027e6dbdfb7ffc77d8a068346b41b39ccc88d3beffaeaddb47,2026-03-20T07:54:08.587175,UNITED_RENTALS,TRUE,2026-03-20T07:54:08.587176,9999-12-31T00:00:00
TL-0050042,EQ-013210,2026-03-13T11:58:19.519430,36.169493,-86.800417,6008.9,35.7,11.8,FALSE,0.0,21.3,,,UR_TELEMATICS,aba2546a294c637c1065e1ca3816e8ea2c580beb2fa4163ae24d7515e2c7366d,2026-03-20T07:54:08.587189,UNITED_RENTALS,TRUE,2026-03-20T07:54:08.587189,9999-12-31T00:00:00
